#RSM Parameters
 
#beta[6][7]
2.08723488e-01 8.01184126e-03 3.56295355e-01 3.46374579e-01 1.86466467e-01 3.57191875e-04 2.69519886e+01
1.11666347e-01 8.63745808e-04 2.07348704e-01 6.28814859e-01 1.65726311e-01 2.53354979e-03 2.86094629e+01
7.11006723e-02 1.05455433e-04 7.35819467e-02 1.53361826e+00 1.37172902e-01 1.11044107e-04 3.51267274e+01
1.25236226e-02 8.41162721e-06 4.09682965e-02 1.94307305e+00 1.57623071e-01 5.08019469e-04 3.65527434e+01
4.86890709e-02 8.30924707e-05 2.54068196e-02 1.44955536e+00 1.55111634e-01 1.52224841e-04 4.12256345e+01
3.15942970e-02 6.20368699e-06 6.64136699e-02 2.10053987e+00 1.06323589e-01 1.36717680e-04 3.48942147e+01
 
#xmin[6][7]
5.50291700e+03 1.00261400e+02 2.00664400e+02 1.66873800e-04 1.67008100e-04 5.77671400e-06 1.33502100e-04
5.50232400e+03 1.00056600e+02 2.01551300e+02 7.00570300e-04 8.67621700e-04 3.47680500e-05 6.77654500e-04
5.50283100e+03 1.00146500e+02 2.00216600e+02 8.01149100e-04 8.52889900e-04 1.39071800e-05 5.65793400e-04
5.50219500e+03 1.00159700e+02 2.00353100e+02 1.29032700e-04 9.33776400e-04 3.65749000e-05 1.19926100e-03
5.50201800e+03 1.00316700e+02 2.00835400e+02 2.76408900e-04 3.06807600e-04 2.67116300e-05 7.00248800e-04
5.50301100e+03 1.00014000e+02 2.00458100e+02 1.91808600e-04 1.45624400e-04 3.59970400e-05 9.92790700e-04
 
#xrange[6][7]
3.99604100e+03 3.99616400e+02 1.79781260e+03 9.99742026e-01 9.99453392e-01 5.23322933e-02 1.57000150e+00
3.99635000e+03 3.99699400e+02 1.79828770e+03 9.99070530e-01 9.98738278e-01 5.23105019e-02 1.56891835e+00
3.99581800e+03 3.99710400e+02 1.79877940e+03 9.99118751e-01 9.99089610e-01 5.23330328e-02 1.56929121e+00
3.99417700e+03 3.99799900e+02 1.79784790e+03 9.98890667e-01 9.98972624e-01 5.22778451e-02 1.56951174e+00
3.99638300e+03 3.99388300e+02 1.79906860e+03 9.99428091e-01 9.99078392e-01 5.23146284e-02 1.57004275e+00
3.99361300e+03 3.99603500e+02 1.79928890e+03 9.99199091e-01 9.99753976e-01 5.22876330e-02 1.56830921e+00
 
#mean[6]
3.14177153e+00 2.57682627e+00 2.43212880e+00 2.40056871e+00 2.42036764e+00 2.38494232e+00
 
#sd[6]
9.39813265e-01 7.20093055e-01 6.77618969e-01 6.73517920e-01 6.56495038e-01 6.44628743e-01
 
#lamz[6]
3.02076685e-01 3.02969710e-01 3.03544913e-01 3.05597866e-01 3.03631233e-01 3.04877028e-01
 
#lamws[6]
2.11503202e+04 2.15319000e+04 3.03855236e+04 2.80877277e+04 2.07331849e+04 2.54715535e+04
 
#x[6][1000][7]
#H
8.92796395e-01 3.84996462e-01 7.45907888e-01 7.56112683e-01 7.65398965e-01 7.97400241e-01 6.11398969e-01
1.80829476e-01 8.99554172e-01 1.63239650e-01 8.02510553e-01 6.82840838e-01 3.22635838e-01 2.63859301e-01
5.61398144e-02 2.68606844e-01 4.67502008e-02 9.79093107e-01 8.09530588e-01 9.36098730e-01 6.66558917e-01
